% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.200214	1	2	0	3.41155e-10	719218	0
0.200214	1	5	0	4.00823e-10	845008	0
0.200214	2	35	0	4.70011e-10	990869	0
0.200214	2	37	0	5.60686e-10	1.18203e+06	0
0.200214	2	39	0	3.65452e-10	770440	0
0.200214	3	1	0	4.61741e-10	973435	0
0.200214	3	3	0	3.81674e-10	804640	0
0.200214	3	7	0	3.80542e-10	802254	0
0.200214	3	8	0	6.54331e-10	1.37945e+06	0
0.200214	3	9	0	4.98243e-10	1.05039e+06	0
0.200214	3	10	0	3.00899e-10	634351	0
0.200214	3	13	0	3.70747e-10	781604	0
0.200214	3	14	0	4.05627e-10	855137	0
0.200214	3	15	0	4.34232e-10	915441	0
0.200214	3	25	0	3.00995e-10	634554	0
0.200214	3	26	0	3.22563e-10	680021	0
0.200214	3	27	0	3.26446e-10	688209	0
0.200214	3	28	0	3.96139e-10	835134	0
0.200214	3	31	0	4.1447e-10	873780	0
0.200214	3	32	0	4.3491e-10	916871	0
0.200214	3	33	0	3.38693e-10	714028	0
0.200214	3	34	0	3.58977e-10	756789	0
0.200214	3	40	0	2.74958e-10	579662	0
0.200214	3	49	0	4.76199e-10	1.00392e+06	0
0.200214	3	52	0	2.43548e-10	513444	0
0.200214	3	53	0	3.69581e-10	779146	0
0.200214	3	54	0	4.41386e-10	930524	0
0.200214	3	55	0	3.1294e-10	659736	0
0.200214	3	56	0	3.24352e-10	683794	0
0.200214	3	58	0	3.91459e-10	825269	0
0.200214	3	59	0	3.3126e-10	698357	0
0.200214	3	60	0	3.9706e-10	837076	0
0.200214	4	21	0	5.21147e-10	1.09867e+06	0
0.200214	4	23	0	5.36035e-10	1.13006e+06	0
0.200214	4	24	0	5.91134e-10	1.24622e+06	0
0.200214	4	29	0	3.20272e-10	675192	0
0.200214	4	30	0	8.72576e-10	1.83955e+06	0
0.200214	5	11	0	5.1195e-10	1.07928e+06	0
0.200214	5	12	0	5.82023e-10	1.22701e+06	0
0.200214	5	18	0	5.21583e-10	1.09959e+06	0
0.200214	5	19	0	3.29234e-10	694085	0
0.200214	5	51	0	4.15234e-10	875390	0
0.200214	6	4	0	4.23945e-10	893755	0
0.200214	6	6	0	7.45006e-10	1.57061e+06	0
0.200214	6	41	0	6.74803e-06	1.42261e+10	0
0.200214	7	42	0	6.74803e-06	1.42261e+10	0
0.200214	7	44	0	6.74803e-06	1.42261e+10	0
0.200214	7	50	0	4.05845e-10	855596	0
0.200214	8	16	0	2.52767e-10	532880	0
0.200214	8	17	0	1.70243e-09	3.58904e+06	0
0.200214	8	43	0	6.74803e-06	1.42261e+10	0
0.200214	9	20	0	9.03617e-10	1.90499e+06	0
0.200214	10	36	0	5.16669e-10	1.08923e+06	0
0.200214	10	38	0	4.94069e-10	1.04159e+06	0
0.200214	10	45	0	6.74803e-06	1.42261e+10	0
0.200214	11	46	0	6.74803e-06	1.42261e+10	0
0.200214	11	57	0	7.28545e-10	1.53591e+06	0
0.200214	12	47	0	6.74803e-06	1.42261e+10	0
0.200214	13	22	0	2.6999e-10	569189	0
0.200214	13	48	0	6.74803e-06	1.42261e+10	0
0.201214	1	2	0	3.41009e-10	718909	0
0.201214	1	5	0	4.0146e-10	846351	0
0.201214	2	35	0	4.70824e-10	992585	0
0.201214	2	37	0	5.60267e-10	1.18115e+06	0
0.201214	2	39	0	3.64646e-10	768740	0
0.201214	3	1	0	4.61741e-10	973435	0
0.201214	3	3	0	3.81977e-10	805279	0
0.201214	3	7	0	3.80542e-10	802254	0
0.201214	3	8	0	6.54712e-10	1.38026e+06	0
0.201214	3	9	0	4.98243e-10	1.05039e+06	0
0.201214	3	10	0	3.00479e-10	633465	0
