% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
263	3	27	2	0	0	165	0	1	0
263	4	23	5	0	0	165	0	1	0
263	6	41	3	0	0	165	0	1	0
264	3	59	6	0	0	165	0	1	0
264	4	30	4	0	0	165	0	1	0
264	5	19	1	0	0	165	0	1	0
264	11	46	2	0	0	165	0	1	0
264	13	22	2	0	0	165	0	1	0
265	1	2	1	0	0	165	0	1	0
265	2	37	2	0	0	165	0	1	0
265	5	12	4	0	0	165	0	1	0
265	10	36	1	0	0	165	0	1	0
265	13	48	1	0	0	165	0	1	0
266	2	39	3	0	0	165	0	1	0
266	7	50	2	0	0	165	0	1	0
267	1	5	2	0	0	165	0	1	0
267	3	54	7	0	0	165	0	1	0
267	6	4	1	0	0	165	0	1	0
267	7	42	3	0	0	165	0	1	0
267	8	16	3	0	0	165	0	1	0
267	10	38	2	0	0	165	0	1	0
268	3	32	22	0	0	165	0	1	0
268	4	21	1	0	28	4395	0	1	0
268	5	18	2	0	28	4395	0	1	0
268	8	17	2	0	28	4395	0	1	0
268	11	57	1	0	28	4395	0	1	0
269	3	15	8	0	28	4395	0	1	0
269	10	45	3	0	28	4395	0	1	0
269	12	47	1	0	28	4395	0	1	0
270	2	35	1	0	28	4395	0	1	0
270	3	55	1	0	28	4395	0	1	0
270	4	29	2	0	28	4395	0	1	0
270	6	6	2	0	28	4395	0	1	0
270	8	43	1	0	28	4395	0	1	0
271	3	7	3	0	28	4395	0	1	0
271	4	24	3	0	28	4395	0	1	0
271	5	11	3	0	28	4395	0	1	0
272	3	34	4	0	18	1980	0	1	0
272	5	51	5	0	8	839	0	1	0
272	7	44	1	0	28	4395	0	1	0
273	3	60	17	0	28	4395	0	1	0
273	4	23	5	0	8	839	0	1	0
273	6	41	3	0	28	4395	0	1	0
273	9	20	1	0	28	4395	0	1	0
274	3	10	5	0	28	4395	0	1	0
274	4	30	4	0	28	4395	0	1	0
274	5	19	1	0	28	4395	0	1	0
274	11	46	2	0	28	4395	0	1	0
274	13	22	2	0	28	4395	0	1	0
275	1	2	1	0	28	4395	0	1	0
275	2	37	2	0	28	4395	0	1	0
275	3	26	23	0	28	4395	0	1	0
275	4	21	1	0	28	4395	1	0	0
275	5	18	2	0	28	4395	1	0	0
275	8	17	2	0	28	4395	1	0	0
