% time	cellId	Interference
0.272929	1	1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 1.57668e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 2.12798e-18 
0.272929	5	2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 2.18458e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 4.19105e-18 
0.272929	10	4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 4.99028e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 3.69111e-16 
0.272929	2	3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 3.33838e-18 
0.273929	10	6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 6.70282e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 1.2602e-20 
0.273929	7	3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 3.86188e-20 
0.274929	1	2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 2.26161e-20 
0.274929	8	1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 1.48343e-18 
0.275929	6	3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 3.30152e-18 
0.275929	5	1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 1.62441e-18 
