% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
272	1	2	1	0	0	173	0	1	1	0
272	5	12	4	0	0	173	0	1	1	0
272	10	36	1	0	0	173	0	1	0	0
272	2	37	2	0	0	85	0	1	1	0
272	2	39	3	0	0	85	0	1	1	0
273	10	38	2	0	0	173	0	1	1	0
273	7	50	2	0	0	85	0	1	1	0
273	7	42	3	0	0	85	0	1	1	0
274	1	5	2	0	0	173	0	1	1	0
274	8	16	3	0	0	173	0	1	1	0
275	6	4	1	0	0	173	0	1	1	0
275	5	18	2	0	0	173	0	1	1	0
275	4	21	1	0	0	173	0	1	1	0
275	11	57	1	0	0	173	0	1	1	0
276	3	54	7	0	0	85	0	1	1	0
276	3	15	8	0	0	85	0	1	1	0
276	8	17	2	0	0	173	0	1	1	0
276	10	45	3	0	0	173	0	1	1	0
276	12	47	1	0	0	173	0	1	1	0
277	3	55	1	0	0	85	0	1	1	0
277	3	60	17	0	0	85	0	1	1	0
277	6	6	2	0	0	173	0	1	1	0
277	5	11	3	0	0	85	0	1	1	0
277	5	51	5	0	0	85	0	1	1	0
277	8	43	1	0	0	173	0	1	1	0
277	4	29	2	0	0	173	0	1	1	0
277	2	35	1	0	0	173	0	1	1	0
278	3	7	3	0	0	85	0	1	1	0
278	3	49	18	0	0	85	0	1	1	0
278	4	24	3	0	0	173	0	1	1	0
279	3	34	4	0	0	53	0	1	1	0
279	3	10	5	0	0	53	0	1	1	0
279	3	9	19	0	0	53	0	1	1	0
279	9	20	1	0	0	173	0	1	1	0
279	10	36	1	0	0	173	1	0	1	0
279	7	44	1	0	0	173	0	1	1	0
280	3	27	2	0	0	173	0	1	1	0
280	6	41	3	0	0	173	0	1	1	0
280	5	19	1	0	0	173	0	1	1	0
280	4	23	5	0	0	173	0	1	1	0
281	4	30	4	0	0	173	0	1	1	0
281	13	22	2	0	0	173	0	1	0	0
281	11	46	2	0	0	173	0	1	1	0
282	3	59	6	0	0	173	0	1	1	0
282	1	2	1	0	0	173	0	1	1	0
282	5	12	4	0	0	173	0	1	1	0
282	10	36	1	0	0	173	0	1	0	0
282	2	37	2	0	0	85	0	1	1	0
