% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.273	3	40	33	4398.72	0
0.274	3	14	34	4412.93	0
0.275	3	53	35	4399.57	0
0.279	3	1	39	4412.93	0
0.321	1	2	1	14.0868	0
0.321	6	4	1	0.0916648	0
0.321	5	19	1	7.56712	0
0.321	9	20	1	0.0881287	0
0.321	4	21	1	9.44666	0
0.321	2	35	1	1.68871	0
0.321	10	36	1	0.0810976	0
0.321	8	43	1	0.144516	0
0.321	7	44	1	0.160796	0
0.321	12	47	1	0.502508	0
0.321	13	48	1	0.105525	0
0.321	3	55	1	0.305026	0
0.321	11	57	1	0.0329468	0
0.322	1	5	2	7.38335	0
0.322	6	6	2	0.00987628	0
0.322	8	17	2	0.023029	0
0.322	5	18	2	4.17438	0
0.322	13	22	2	0.0074259	0
0.322	3	27	2	0.321378	0
0.322	4	29	2	0.0243226	0
0.322	2	37	2	8.48895	0
0.322	10	38	2	0.138141	0
0.322	11	46	2	0.162718	0
0.322	7	50	2	0.322527	0
0.323	3	7	3	0.522608	0
0.323	5	11	3	11.2516	0
0.323	8	16	3	0.215704	0
0.323	4	24	3	19.0859	0
0.323	2	39	3	10.0174	0
0.323	6	41	3	0.10296	0
0.323	7	42	3	1.38119	0
0.323	10	45	3	0.401798	0
0.324	5	12	4	60.9289	0
0.324	4	30	4	23.2585	0
0.324	3	34	4	2.38206	0
0.325	3	10	5	1.20155	0
0.325	4	23	5	9.7478	0
0.325	5	51	5	29.6817	0
0.326	3	59	6	4408.01	0
0.327	3	54	7	4413.93	0
0.328	3	15	8	4412.93	0
0.337	3	60	17	4412.93	0
0.338	3	49	18	4412.93	0
0.339	3	9	19	4412.93	0
0.34	3	3	20	4419.6	0
0.341	3	56	21	4396.23	0
0.342	3	32	22	4416.24	0
0.343	3	26	23	4400.92	0
0.344	3	31	24	4409.93	0
0.348	3	28	28	4412.93	0
0.349	3	8	29	4417.96	0
0.35	3	58	30	4418.7	0
0.351	3	13	31	4412.93	0
0.352	3	52	32	4404.89	0
0.353	3	40	33	4398.86	0
0.354	3	14	34	4412.93	0
0.355	3	53	35	4399.97	0
0.357	3	25	37	4401.54	0
0.358	3	33	38	4404.6	0
0.359	3	1	39	4412.93	0
0.401	1	2	1	14.4274	0
0.401	6	4	1	0.0849426	0
0.401	5	19	1	8.45219	0
0.401	9	20	1	0.0939307	0
0.401	4	21	1	9.28212	0
0.401	2	35	1	2.09401	0
0.401	10	36	1	0.0915639	0
0.401	8	43	1	0.123798	0
0.401	7	44	1	0.170522	0
0.401	12	47	1	0.518361	0
0.401	13	48	1	0.11723	0
0.401	3	55	1	0.280703	0
0.401	11	57	1	0.0459452	0
0.402	1	5	2	9.9603	0
0.402	6	6	2	0.0117041	0
0.402	8	17	2	0.0211769	0
0.402	5	18	2	3.82923	0
0.402	13	22	2	0.00672212	0
0.402	3	27	2	0.320416	0
0.402	4	29	2	0.0518091	0
0.402	2	37	2	8.58067	0
0.402	10	38	2	0.15025	0
0.402	11	46	2	0.124684	0
0.402	7	50	2	0.324156	0
0.403	3	7	3	0.417269	0
0.403	5	11	3	9.54679	0
0.403	8	16	3	0.213212	0
0.403	4	24	3	19.1553	0
0.403	2	39	3	10.0333	0
0.403	6	41	3	0.102794	0
0.403	7	42	3	1.36948	0
0.403	10	45	3	0.385903	0
0.404	5	12	4	61.3738	0
0.404	4	30	4	22.7397	0
0.404	3	34	4	2.38219	0
0.405	3	10	5	1.38248	0
0.405	4	23	5	9.81056	0
0.405	5	51	5	29.3303	0
0.406	3	59	6	4407.97	0
0.407	3	54	7	4413.3	0
0.408	3	15	8	4412.93	0
0.417	3	60	17	4412.93	0
0.418	3	49	18	4412.93	0
0.419	3	9	19	4412.93	0
0.42	3	3	20	4419.53	0
0.421	3	56	21	4396.83	0
0.422	3	32	22	4416.09	0
0.423	3	26	23	4401.12	0
0.424	3	31	24	4409.86	0
0.428	3	28	28	4412.93	0
0.429	3	8	29	4417.99	0
0.43	3	58	30	4418.47	0
0.431	3	13	31	4412.93	0
0.432	3	52	32	4404.93	0
0.433	3	40	33	4399.04	0
0.434	3	14	34	4412.93	0
0.435	3	53	35	4400.35	0
0.437	3	25	37	4401.78	0
0.438	3	33	38	4404.7	0
0.439	3	1	39	4412.93	0
0.481	1	2	1	12.5756	0
0.481	6	4	1	0.0784147	0
0.481	5	19	1	0.852151	0
0.481	9	20	1	0.0780802	0
0.481	4	21	1	7.62759	0
0.481	2	35	1	2.3234	0
0.481	10	36	1	0.0940723	0
0.481	8	43	1	0.0772237	0
0.481	7	44	1	0.179478	0
0.481	12	47	1	0.513297	0
0.481	13	48	1	0.11741	0
0.481	3	55	1	0.205896	0
0.481	11	57	1	0.0578488	0
0.482	1	5	2	10.6163	0
0.482	6	6	2	0.0118121	0
0.482	8	17	2	0.0196217	0
0.482	5	18	2	4.20326	0
0.482	13	22	2	0.0078622	0
0.482	3	27	2	0.376996	0
0.482	4	29	2	0.343124	0
0.482	2	37	2	8.81793	0
0.482	10	38	2	0.160208	0
0.482	11	46	2	0.0944815	0
0.482	7	50	2	0.329932	0
0.483	3	7	3	0.321786	0
0.483	5	11	3	44.6789	0
0.483	8	16	3	0.204322	0
0.483	4	24	3	19.2487	0
0.483	2	39	3	9.95783	0
0.483	6	41	3	0.102598	0
0.483	7	42	3	1.35483	0
0.483	10	45	3	0.375609	0
0.484	5	12	4	61.2939	0
0.484	4	30	4	22.2244	0
0.484	3	34	4	2.38231	0
0.485	3	10	5	1.5421	0
0.485	4	23	5	9.84532	0
0.485	5	51	5	28.3481	0
0.486	3	59	6	4407.93	0
0.487	3	54	7	4412.67	0
0.488	3	15	8	4412.93	0
0.497	3	60	17	4412.93	0
0.498	3	49	18	4412.93	0
0.499	3	9	19	4412.93	0
0.5	3	3	20	4419.45	0
0.501	3	56	21	4397.39	0
0.502	3	32	22	4415.93	0
0.503	3	26	23	4401.32	0
0.504	3	31	24	4409.79	0
0.508	3	28	28	4412.93	0
0.509	3	8	29	4418.02	0
0.51	3	58	30	4418.22	0
0.511	3	13	31	4412.93	0
0.512	3	52	32	4404.99	0
0.513	3	40	33	4350.85	0
0.514	3	14	34	4412.93	0
0.515	3	53	35	4400.71	0
0.517	3	25	37	4402.01	0
0.518	3	33	38	4404.8	0
0.519	3	1	39	4412.93	0
0.561	1	2	1	12.3807	0
0.561	6	4	1	0.0725947	0
0.561	5	19	1	0.892385	0
0.561	9	20	1	0.0841093	0
0.561	4	21	1	7.64231	0
0.561	2	35	1	2.41506	0
0.561	10	36	1	0.0944174	0
0.561	8	43	1	0.0765134	0
0.561	7	44	1	0.188328	0
0.561	12	47	1	0.513322	0
0.561	13	48	1	0.117445	0
0.561	3	55	1	0.197889	0
0.561	11	57	1	0.0613103	0
0.562	1	5	2	10.0761	0
0.562	6	6	2	0.0118089	0
0.562	8	17	2	0.0182704	0
0.562	5	18	2	3.70326	0
0.562	13	22	2	0.00765463	0
0.562	3	27	2	0.353518	0
0.562	4	29	2	0.300745	0
0.562	2	37	2	8.41172	0
0.562	10	38	2	0.188558	0
0.562	11	46	2	0.0712499	0
0.562	7	50	2	0.328216	0
0.563	3	7	3	0.243856	0
0.563	5	11	3	29.6882	0
0.563	8	16	3	0.195459	0
0.563	4	24	3	19.155	0
0.563	2	39	3	9.92204	0
0.563	6	41	3	0.102375	0
0.563	7	42	3	1.33782	0
0.563	10	45	3	0.369873	0
0.564	5	12	4	58.0361	0
0.564	4	30	4	21.7139	0
0.564	3	34	4	2.38243	0
0.565	3	10	5	1.67288	0
0.565	4	23	5	9.8974	0
0.565	5	51	5	27.7519	0
0.566	3	59	6	4407.89	0
0.567	3	54	7	4412.04	0
0.568	3	15	8	4412.93	0
0.577	3	60	17	4412.93	0
0.578	3	49	18	4412.93	0
0.579	3	9	19	4412.93	0
0.58	3	3	20	4412.93	0
0.581	3	56	21	4133.54	0
0.582	3	32	22	4412.93	0
0.583	3	26	23	4401.53	0
0.584	3	31	24	4409.73	0
0.588	3	28	28	4412.93	0
